Date,Category,Author,Url,Title,Findings
5/10/2021,WHO / SAGE Recommendations,WHO,https://www.who.int/publications/m/item/chadox1-s-recombinant-covid-19-vaccine,"AstraZeneca ChAdOx1-S/nCoV-19 [recombinant], COVID-19 vaccine",AstraZeneca recommended (1) for lactating persons and permitted with qualifications (elevated risk of exposure & serious disease) (3) for pregnant persons.
5/13/2021,Vaccine Safety / Effectiveness / Newborn Outcomes,Collier et al.,https://jamanetwork.com/journals/jama/fullarticle/2780202,Immunogenicity of COVID-19 mRNA vaccines in pregnant and lactating women,"In this cohort study involving 103 women who received a COVID-19 mRNA vaccine, 30 of whom were pregnant and 16 of whom were lactating, immunogenicity was demonstrated in all, and vaccine-elicited antibodies were found in infant cord blood and breast milk. Pregnant and nonpregnant vaccinated women developed cross-reactive immune responses against SARS-CoV-2 variants of concern."
5/19/2021,Risk of SARS-CoV2 In Pregnancy,Gurol-Urganci et al.,https://www.ajog.org/article/S0002-9378(21)00565-2/fulltext,Maternal and perinatal outcomes of pregnant women with SARS-CoV-2 infection at the time of birth in England: national cohort study,"SARS-CoV-2 infection at the time of birth is associated with higher rates of fetal death, preterm birth, preeclampsia, and emergency cesarean delivery. There were no additional adverse neonatal outcomes, other than those related to preterm delivery. Pregnant women should be counseled regarding risks of SARS-CoV-2 infection and should be considered a priority for vaccination."
5/20/2021,Vaccine Safety / Effectiveness / Newborn Outcomes,Beharier et al.,https://www.jci.org/articles/view/150319,Efficient maternal to neonatal transfer of antibodies against SARS-CoV-2 and BNT162b2 mRNA COVID-19 vaccine,"Antenatal BNT162b2 mRNA vaccination induces a robust maternal humoral response that effectively transfers to the fetus, supporting the role of vaccination during pregnancy."
5/24/2021,WHO / SAGE Recommendations,WHO,https://www.who.int/publications/i/item/WHO-2019-nCoV-vaccines-SAGE-recommendation-Sinovac-Coronavac,"Interim recommendations for the use of the inactivated COVID-19 vaccine, CoronaVac, developed by Sinovac",Sinovac recommended (1) for lactating persons and permitted (2) for pregnant persons.
6/15/2021,WHO / SAGE Recommendations,WHO,https://www.who.int/publications/i/item/WHO-2019-nCoV-vaccines-SAGE-recommendation-Ad26.COV2.S-2021.1,Interim recommendations for the use of the Janssen Ad26.COV2.S (COVID-19) vaccine,Janssen recommended (1) for lactating persons and permitted with qualifications (elevated risk of exposure & serious disease) (3) for pregnant persons.
6/15/2021,WHO / SAGE Recommendations,WHO,https://www.who.int/publications/i/item/interim-recommendations-for-use-of-the-moderna-mrna-1273-vaccine-against-covid-19,Interim recommendations for use of the Moderna mRNA-1273 vaccine against COVID-19,Moderna recommended (1) for lactating persons and permitted (2) for pregnant persons.
6/15/2021,WHO / SAGE Recommendations,WHO,https://www.who.int/publications/i/item/WHO-2019-nCoV-vaccines-SAGE_recommendation-BNT162b2-2021.1,"Interim recommendations for use of the Pfizer–BioNTech COVID-19 vaccine, BNT162b2, under Emergency Use Listing",Pfizer recommended (1) for lactating persons and permitted (2) for pregnant persons.
6/17/2021,Vaccine Safety / Effectiveness / Newborn Outcomes,Jakuszko et al.,https://www.mdpi.com/2076-393X/9/6/663,Immune Response to Vaccination against COVID-19 in Breastfeeding Health Workers,"As there were no serious side effects in the children after the mothers’ vaccinations, and the presence of IgG and IgA antibodies in the breast milk was shown, the study gives further evidence on the importance of vaccination against COVID-19 in breastfeeding women. Therefore, the study may affect future recommendations for vaccination against COVID-19 in the general population of breastfeeding mothers."
6/26/2021,Risk of SARS-CoV2 In Pregnancy,Papageorghiou et al.,https://www.ajog.org/article/S0002-9378(21)00561-5/fulltext,Preeclampsia and COVID-19: results from the INTERCOVID prospective longitudinal study,"COVID-19 during pregnancy is strongly associated with preeclampsia, especially among nulliparous women. This association is independent of any risk factors and preexisting conditions. COVID-19 severity does not seem to be a factor in this association."
7/1/2021,Vaccine Safety / Effectiveness / Newborn Outcomes,Bookstein Peretz et al.,https://obgyn.onlinelibrary.wiley.com/doi/10.1002/uog.23729,Short-term outcome of pregnant women vaccinated with BNT162b2 mRNA COVID-19 vaccine,The findings of this study show that COVID-19 vaccination of pregnant women with the BNT162b2 mRNA vaccine seems to be safe and effective. Recommending COVID-19 vaccination of pregnant women should therefore be strongly considered in view of the maternal morbidity associated with COVID-19 in pregnancy.
7/12/2021,Vaccine Safety / Effectiveness / Newborn Outcomes,Goldshtein et al.,https://jamanetwork.com/journals/jama/fullarticle/2782047,Association between BNT162b2 vaccination and incidence of SARS-CoV-2 infection in pregnant women,"Among pregnant women, receipt of the BNT162b2 vaccine was associated with a lower risk of incident SARS-CoV-2 infection."
